,landing_page_id,origin,label
1117,5,5,1.0
1502,215,7,0.0
933,16,6,1.0
78,2,2,1.0
768,2,4,1.0
485,35,6,0.0
1567,12,6,1.0
627,40,2,1.0
1287,2,2,0.0
1463,58,5,0.0
621,18,1,0.0
464,2,2,1.0
793,163,2,1.0
1488,16,6,1.0
1533,2,2,1.0
1185,2,2,1.0
1184,52,6,1.0
953,12,4,1.0
219,12,4,1.0
1409,21,4,1.0
1024,137,4,0.0
315,6,5,1.0
741,18,1,1.0
1568,12,4,1.0
138,65,4,1.0
1651,21,4,1.0
52,4,7,0.0
921,21,4,1.0
971,5,2,1.0
796,164,3,0.0
1288,2,2,1.0
775,99,6,1.0
553,2,2,1.0
5,4,4,0.0
460,22,6,1.0
1645,2,10,0.0
1249,21,4,1.0
404,6,4,1.0
1339,30,6,1.0
982,55,6,0.0
1630,205,9,0.0
956,1,1,0.0
521,89,1,0.0
1271,21,4,1.0
1252,21,4,1.0
1300,12,4,1.0
1607,18,1,1.0
326,55,6,1.0
864,2,2,1.0
1081,1,1,1.0
299,45,7,0.0
1166,9,6,0.0
331,26,4,1.0
77,21,5,0.0
477,126,2,1.0
1610,2,2,1.0
541,21,6,0.0
1198,46,4,1.0
1615,25,1,0.0
97,21,6,1.0
1555,1,1,0.0
1411,21,4,1.0
374,2,2,0.0
1203,54,3,0.0
528,36,3,0.0
1192,195,2,0.0
619,65,4,1.0
802,82,3,0.0
1545,24,1,1.0
1457,5,4,0.0
329,93,2,1.0
563,45,7,0.0
408,21,9,1.0
1495,6,4,1.0
84,44,2,0.0
835,2,2,1.0
4,3,3,0.0
1534,21,4,1.0
352,18,1,1.0
1130,110,4,0.0
225,2,2,1.0
176,2,2,1.0
384,55,4,0.0
364,25,1,0.0
18,1,1,0.0
46,29,6,0.0
777,129,4,0.0
1049,5,4,1.0
638,150,8,0.0
1211,21,5,1.0
1520,40,4,0.0
610,38,2,1.0
1608,2,2,1.0
591,21,5,1.0
418,70,4,0.0
1026,5,6,0.0
1058,59,6,0.0
1118,1,1,0.0
1572,1,4,1.0
290,96,6,0.0
1634,13,6,0.0
1036,2,2,0.0
1093,21,6,1.0
810,124,1,0.0
1371,206,4,1.0
955,9,6,0.0
940,21,7,0.0
68,21,4,0.0
530,135,9,1.0
1504,2,2,1.0
1127,21,4,1.0
930,1,1,0.0
1167,21,2,0.0
255,89,1,1.0
1115,2,2,0.0
968,137,9,0.0
1078,21,2,0.0
991,21,4,0.0
308,46,6,0.0
1494,1,1,0.0
1430,45,4,0.0
1095,51,3,0.0
135,63,3,0.0
38,26,4,1.0
1573,4,9,0.0
880,83,4,0.0
847,2,2,1.0
760,1,1,0.0
480,2,4,1.0
1035,151,6,1.0
171,21,5,0.0
1004,4,3,0.0
1070,165,5,0.0
834,2,4,0.0
185,18,1,0.0
820,40,4,0.0
1038,21,4,1.0
119,36,3,0.0
892,55,6,0.0
1360,49,3,0.0
755,30,6,1.0
45,28,2,1.0
754,56,5,0.0
209,2,2,0.0
1389,4,7,0.0
186,21,6,1.0
939,25,1,0.0
707,21,6,1.0
427,40,1,0.0
1536,1,5,0.0
1259,58,6,1.0
267,21,6,1.0
589,64,2,0.0
1375,5,4,1.0
1234,9,6,0.0
1232,21,4,1.0
159,70,3,0.0
1126,70,4,0.0
178,75,3,0.0
100,49,4,1.0
582,21,4,1.0
294,93,5,1.0
466,124,1,1.0
818,21,9,1.0
60,36,2,1.0
628,99,4,0.0
94,47,10,1.0
1032,13,6,0.0
1040,21,5,1.0
72,41,4,0.0
1530,13,6,0.0
517,52,6,0.0
611,145,2,1.0
1159,192,4,0.0
70,40,4,1.0
672,21,4,1.0
958,21,6,0.0
1591,21,4,1.0
1628,12,6,0.0
719,140,4,1.0
1108,186,4,1.0
437,49,1,1.0
654,18,1,0.0
9,7,4,0.0
531,110,4,1.0
1266,40,4,0.0
566,140,6,1.0
88,21,4,0.0
196,79,2,1.0
1246,2,2,0.0
359,5,5,1.0
1560,21,4,1.0
962,161,4,0.0
814,26,8,1.0
80,21,6,0.0
667,155,3,0.0
723,21,4,1.0
175,2,2,0.0
1173,12,6,1.0
508,130,2,1.0
1041,40,4,0.0
1321,141,3,0.0
199,80,6,1.0
692,21,4,0.0
391,1,1,0.0
884,1,1,1.0
893,2,2,1.0
1553,5,4,0.0
585,117,3,0.0
801,21,4,1.0
523,89,1,0.0
1077,21,6,0.0
484,21,4,1.0
674,124,4,1.0
148,21,4,1.0
1510,124,4,0.0
1605,138,5,0.0
1479,99,6,1.0
526,29,3,0.0
1318,2,2,0.0
791,2,4,0.0
361,2,2,1.0
1514,214,2,0.0
1639,99,3,0.0
1292,30,6,0.0
970,1,1,0.0
1416,45,4,0.0
817,166,1,1.0
36,25,1,0.0
378,109,3,1.0
1188,65,6,1.0
373,4,4,1.0
470,1,1,0.0
1434,2,2,0.0
416,1,1,0.0
1224,1,1,0.0
215,4,9,0.0
1582,2,2,1.0
1261,21,6,1.0
1144,21,4,0.0
459,21,4,1.0
488,2,2,1.0
1377,2,2,0.0
809,21,2,1.0
147,16,4,1.0
452,2,2,1.0
1637,12,6,1.0
1015,124,2,0.0
703,66,6,1.0
946,6,4,1.0
917,61,4,0.0
188,26,4,0.0
82,35,6,1.0
1344,5,4,0.0
1522,36,5,0.0
576,12,2,1.0
759,2,2,1.0
1111,59,4,1.0
383,110,4,0.0
141,12,5,0.0
67,38,5,1.0
1598,5,4,1.0
1298,16,6,0.0
44,2,2,1.0
33,2,2,1.0
512,132,2,1.0
431,29,3,1.0
1547,18,1,1.0
92,5,4,1.0
1227,21,4,1.0
349,105,1,0.0
655,9,6,1.0
1258,5,6,1.0
363,4,6,0.0
745,5,4,0.0
1245,21,9,0.0
1378,2,2,0.0
1652,130,4,1.0
927,91,4,1.0
522,49,4,1.0
1002,1,1,1.0
1217,16,6,0.0
1444,209,4,0.0
321,100,5,0.0
616,147,6,1.0
1601,4,3,0.0
1149,12,6,1.0
112,38,6,1.0
1079,13,6,0.0
1431,40,4,0.0
1043,18,1,0.0
641,2,2,1.0
30,23,1,0.0
151,67,4,1.0
689,2,6,0.0
886,12,6,1.0
1633,26,4,0.0
830,21,4,1.0
1396,40,4,1.0
478,36,10,1.0
11,9,6,1.0
1585,221,2,1.0
605,21,4,1.0
1074,2,4,1.0
419,2,2,1.0
177,2,2,1.0
240,5,4,1.0
24,19,3,0.0
1214,2,2,0.0
774,1,1,1.0
1447,5,4,1.0
457,2,2,1.0
841,169,4,1.0
309,21,5,1.0
765,21,4,1.0
1624,2,6,0.0
301,97,6,1.0
202,21,6,0.0
425,99,6,1.0
365,2,2,1.0
507,129,4,0.0
1505,2,2,1.0
481,124,4,0.0
567,21,4,0.0
900,172,3,0.0
855,2,4,1.0
1094,2,2,0.0
261,30,6,1.0
291,4,5,0.0
278,21,4,1.0
1021,89,1,0.0
885,12,6,0.0
662,1,1,1.0
1325,2,2,1.0
1085,12,6,0.0
73,24,1,1.0
534,83,6,0.0
783,104,6,0.0
54,34,1,0.0
1369,5,4,0.0
146,66,3,0.0
1169,21,6,1.0
784,21,4,1.0
193,21,5,0.0
109,1,1,0.0
420,116,7,0.0
1050,5,4,0.0
854,170,1,0.0
187,12,4,1.0
31,5,5,1.0
389,21,9,1.0
1539,21,1,1.0
1274,2,2,1.0
1076,2,2,0.0
244,2,2,0.0
98,21,4,1.0
107,52,6,1.0
323,26,4,1.0
870,93,10,0.0
463,12,6,1.0
1129,191,2,1.0
358,21,6,1.0
1020,1,1,0.0
1201,21,5,0.0
273,18,1,0.0
1632,21,4,1.0
1061,185,2,1.0
106,6,9,1.0
15,13,6,1.0
813,4,5,0.0
398,21,4,1.0
1387,28,6,1.0
436,18,1,0.0
1119,36,4,0.0
306,2,2,1.0
524,49,5,1.0
390,1,1,0.0
375,24,1,1.0
1057,105,2,0.0
473,125,9,0.0
781,2,2,1.0
822,21,4,0.0
163,18,1,0.0
1257,4,9,0.0
271,73,4,0.0
497,21,4,0.0
965,6,4,1.0
1193,2,5,1.0
42,12,6,0.0
1618,16,4,0.0
169,29,5,0.0
993,21,4,1.0
966,2,6,0.0
1421,45,7,0.0
346,103,4,0.0
858,58,6,0.0
758,160,4,0.0
16,14,6,0.0
152,5,5,1.0
736,161,9,0.0
1302,2,2,1.0
1332,12,6,1.0
1068,26,4,1.0
626,119,3,0.0
1146,5,4,0.0
1449,46,5,0.0
23,18,1,1.0
737,21,4,1.0
128,26,9,0.0
646,124,6,0.0
162,72,4,0.0
1443,2,2,1.0
575,2,2,0.0
556,21,6,1.0
1636,12,4,1.0
1326,2,4,0.0
987,179,9,1.0
1506,2,2,1.0
264,5,1,0.0
183,1,1,1.0
918,38,6,1.0
612,18,1,0.0
1600,21,5,1.0
205,18,1,0.0
1179,2,4,1.0
1158,5,4,1.0
700,12,6,1.0
1475,13,6,1.0
409,16,6,1.0
907,121,5,0.0
317,21,2,1.0
684,21,3,1.0
1433,40,4,0.0
1381,18,1,0.0
972,21,4,1.0
1110,187,4,0.0
1498,213,4,1.0
113,16,5,1.0
395,21,9,1.0
520,134,2,0.0
1086,2,2,1.0
873,149,3,0.0
1564,55,4,1.0
860,16,6,1.0
399,25,1,0.0
1096,151,6,1.0
721,46,5,0.0
312,16,6,1.0
753,162,4,0.0
1365,1,1,1.0
1099,18,1,1.0
253,26,4,1.0
181,21,4,1.0
1404,21,9,1.0
479,21,6,1.0
845,45,4,0.0
1309,12,6,1.0
29,21,4,0.0
1346,108,3,0.0
93,4,3,0.0
211,12,6,1.0
123,46,6,0.0
1114,72,6,1.0
114,40,4,0.0
156,12,6,1.0
1075,2,2,1.0
650,2,2,1.0
914,175,6,1.0
1276,21,4,0.0
1465,151,6,0.0
1064,10,4,0.0
43,25,1,1.0
1492,13,4,1.0
1140,1,1,0.0
1299,5,4,1.0
1177,2,2,0.0
1147,2,2,0.0
355,18,1,0.0
62,12,2,1.0
324,12,6,1.0
564,25,1,0.0
1363,12,6,1.0
1170,24,4,0.0
695,58,2,0.0
1317,83,6,1.0
1286,5,4,1.0
1472,18,1,1.0
1554,21,4,1.0
562,80,6,0.0
1272,12,6,1.0
20,17,6,0.0
624,149,9,0.0
666,38,4,0.0
203,73,6,1.0
831,21,10,0.0
632,2,2,1.0
53,33,4,0.0
800,5,6,1.0
1304,4,7,0.0
1589,50,9,1.0
190,2,4,0.0
370,9,6,0.0
863,99,6,0.0
396,1,1,0.0
1013,2,2,1.0
103,25,2,0.0
1135,83,4,0.0
1537,21,4,1.0
904,18,1,1.0
1084,55,6,0.0
1083,21,4,0.0
1327,2,2,1.0
104,51,3,0.0
1134,21,8,1.0
1180,194,6,1.0
447,1,1,0.0
117,12,6,1.0
771,2,2,1.0
1521,27,4,0.0
232,5,4,1.0
542,72,6,0.0
423,18,4,0.0
990,36,4,1.0
663,29,6,0.0
931,18,1,1.0
772,21,2,1.0
1614,45,7,0.0
1260,2,2,1.0
936,108,2,0.0
483,18,1,1.0
1132,26,4,1.0
617,2,6,0.0
281,21,4,1.0
58,18,1,0.0
1196,21,3,1.0
871,21,4,1.0
462,12,6,1.0
1423,55,6,1.0
604,4,9,0.0
1340,21,4,1.0
943,12,6,1.0
706,40,1,0.0
942,2,2,1.0
1550,217,2,1.0
792,2,2,1.0
1305,12,6,1.0
1485,6,4,1.0
764,2,2,1.0
1221,151,4,0.0
1345,125,3,0.0
1516,65,6,0.0
369,40,6,1.0
131,6,4,0.0
1194,2,2,1.0
905,21,4,1.0
888,18,1,0.0
1087,5,4,1.0
538,4,4,1.0
412,115,4,1.0
275,95,4,1.0
1380,21,4,0.0
277,77,2,0.0
174,4,6,1.0
1343,21,4,1.0
785,21,4,1.0
571,33,4,0.0
216,25,2,0.0
502,26,8,0.0
1297,2,2,1.0
1354,21,4,1.0
201,21,6,0.0
26,5,4,0.0
572,29,6,1.0
1243,147,6,0.0
525,82,1,0.0
129,59,4,0.0
41,27,6,0.0
134,62,3,0.0
569,141,3,1.0
1497,2,2,1.0
1161,12,6,1.0
546,82,2,0.0
1451,21,4,1.0
1353,205,1,0.0
1247,12,6,1.0
332,1,1,1.0
537,21,4,1.0
1333,77,2,0.0
212,83,6,0.0
453,21,4,1.0
515,133,6,0.0
386,21,2,1.0
1168,139,6,0.0
1131,160,1,0.0
510,131,10,0.0
1468,178,3,0.0
713,21,5,0.0
444,21,4,1.0
983,12,4,1.0
1066,2,2,1.0
1031,2,2,0.0
498,128,3,0.0
644,151,6,1.0
1178,89,6,0.0
963,21,6,1.0
1039,2,9,0.0
1350,21,4,0.0
688,89,1,1.0
1018,18,1,0.0
258,90,2,1.0
327,101,2,0.0
1001,2,6,1.0
902,28,2,0.0
1148,72,6,0.0
826,21,4,0.0
1623,2,2,1.0
1424,21,10,1.0
65,2,2,1.0
1548,31,4,0.0
91,5,6,1.0
1361,18,1,1.0
298,2,2,0.0
415,4,9,0.0
1609,18,1,0.0
694,77,4,0.0
1460,21,4,0.0
1141,21,4,1.0
702,40,2,1.0
861,21,4,0.0
844,21,4,1.0
350,2,2,0.0
1418,18,1,1.0
749,44,3,0.0
1379,12,6,1.0
446,89,1,0.0
330,2,2,1.0
1635,1,1,1.0
166,12,6,1.0
1088,134,4,0.0
242,18,1,0.0
878,2,2,1.0
1315,115,3,1.0
297,12,6,1.0
1570,5,4,1.0
1171,49,9,0.0
1583,59,6,1.0
1139,21,4,1.0
852,18,1,0.0
132,60,5,0.0
731,1,1,0.0
1273,45,4,1.0
85,5,9,0.0
1121,12,6,1.0
1204,5,4,1.0
130,55,6,0.0
1238,198,2,1.0
1471,25,1,0.0
173,2,2,0.0
640,1,1,1.0
786,26,4,0.0
977,2,2,1.0
600,26,4,0.0
1239,40,4,0.0
1552,61,4,0.0
1109,13,6,0.0
1474,210,2,1.0
1237,45,4,1.0
579,12,6,1.0
725,159,2,0.0
1438,2,2,1.0
256,21,4,1.0
952,16,6,0.0
740,12,6,1.0
1312,73,8,0.0
1090,40,3,1.0
954,129,4,0.0
1128,114,5,1.0
862,2,2,1.0
1566,144,3,0.0
1364,54,3,0.0
849,2,2,1.0
456,5,6,1.0
1646,2,2,0.0
675,18,1,1.0
465,5,4,0.0
1046,26,9,0.0
717,12,6,1.0
730,70,4,0.0
380,40,4,0.0
577,21,4,0.0
56,2,2,0.0
3,2,2,1.0
1100,26,4,1.0
74,12,3,0.0
665,154,4,0.0
518,58,6,0.0
433,118,7,1.0
1373,2,2,1.0
195,2,2,1.0
1512,46,4,0.0
1359,40,4,0.0
126,58,6,0.0
1029,2,2,1.0
540,53,1,0.0
